Year,Brand,Set,Card Number,Player,Notes
1980,Topps,Topps,353,Andy Hassler,
1980,Topps,Topps,354,Rick Auerbach,
1980,Topps,Topps,355,Gary Matthews Sr.,
1980,Topps,Topps,356,Jerry Coleman,San Diego Padres Team Checklist
1980,Topps,Topps,357,Bob McClure,
1980,Topps,Topps,358,Lou Whitaker,
1980,Topps,Topps,359,Randy Moffitt,
1980,Topps,Topps,360,Darrell Porter,
1980,Topps,Topps,361,Wayne Garland,
1980,Topps,Topps,362,Danny Goodwin,
1980,Topps,Topps,363,Wayne Gross,
1980,Topps,Topps,364,Ray Burris,
1980,Topps,Topps,365,Bobby Murcer,
1980,Topps,Topps,366,Rob Dressler,
1980,Topps,Topps,367,Billy Smith,
1980,Topps,Topps,368,Willie Aikens,
1980,Topps,Topps,369,Jim Kern,
1980,Topps,Topps,370,Cesar Cedeno,
1980,Topps,Topps,371,Jack Morris,
1980,Topps,Topps,372,Joel Youngblood,
1980,Topps,Topps,373,Dan Petry,Rookie Card
1980,Topps,Topps,374,Jim Gantner,
1980,Topps,Topps,375,Ross Grimsley,
1980,Topps,Topps,376,Gary Allenson,Rookie Card
1980,Topps,Topps,377,Junior Kennedy,
1980,Topps,Topps,378,Jerry Mumphrey,
1980,Topps,Topps,379,Kevin Bell,
1980,Topps,Topps,380,Garry Maddox,
1980,Topps,Topps,381,Preston Gomez,Chicago Cubs Team Checklist
1980,Topps,Topps,382,Dave Freisleben,
1980,Topps,Topps,383,Ed Ott,
1980,Topps,Topps,384,Joey McLaughlin,
1980,Topps,Topps,385,Enos Cabell,
1980,Topps,Topps,386,Darrell Jackson,
1980,Topps,Topps,387,Fred Stanley,
1980,Topps,Topps,388,Mike Paxton,
1980,Topps,Topps,389,Pete LaCock,
1980,Topps,Topps,390,Fergie Jenkins,
1980,Topps,Topps,391,Tony Armas,
1980,Topps,Topps,392,Milt Wilcox,
1980,Topps,Topps,393,Ozzie Smith,
1980,Topps,Topps,394,Reggie Cleveland,
1980,Topps,Topps,395,Ellis Valentine,
1980,Topps,Topps,396,Dan Meyer,
1980,Topps,Topps,397,Roy Thomas,
1980,Topps,Topps,398,Barry Foote,
1980,Topps,Topps,399,Mike Proly,
1980,Topps,Topps,400,George Foster,
1980,Topps,Topps,401,Pete Falcone,
1980,Topps,Topps,402,Merv Rettenmund,
1980,Topps,Topps,403,Pete Redfern,
1980,Topps,Topps,404,Earl Weaver,Baltimore Orioles Team Checklist
1980,Topps,Topps,405,Dwight Evans,
1980,Topps,Topps,406,Paul Molitor,
1980,Topps,Topps,407,Tony Solaita,
1980,Topps,Topps,408,Bill North,
1980,Topps,Topps,409,Paul Splittorff,
1980,Topps,Topps,410,Bobby Bonds,
1980,Topps,Topps,411,Frank LaCorte,
1980,Topps,Topps,412,Thad Bosley,
1980,Topps,Topps,413,Allen Ripley,
1980,Topps,Topps,414,George Scott,
1980,Topps,Topps,415,Bill Atkinson,
1980,Topps,Topps,416,Tom Brookens,
1980,Topps,Topps,417,Craig Chamberlain,Rookie Card
1980,Topps,Topps,418,Roger Freed,
1980,Topps,Topps,419,Vic Correll,
1980,Topps,Topps,420,Butch Hobson,
1980,Topps,Topps,421,Doug Bird,
1980,Topps,Topps,422,Larry Milbourne,
1980,Topps,Topps,423,Dave Frost,
1980,Topps,Topps,424,Dick Howser,New York Yankees Team Checklist
1980,Topps,Topps,425,Mark Belanger,
1980,Topps,Topps,426,Grant Jackson,
1980,Topps,Topps,427,Tom Hutton,
1980,Topps,Topps,428,Pat Zachry,
1980,Topps,Topps,429,Duane Kuiper,
1980,Topps,Topps,430,Larry Hisle,
1980,Topps,Topps,431,Mike Krukow,
1980,Topps,Topps,432,Willie Norwood,
1980,Topps,Topps,433,Rich Gale,
1980,Topps,Topps,434,Johnnie LeMaster,
1980,Topps,Topps,435,Don Gullett,
1980,Topps,Topps,436,Bill Almon,
1980,Topps,Topps,437,Joe Niekro,
1980,Topps,Topps,438,Dave Revering,
1980,Topps,Topps,439,Mike Phillips,
1980,Topps,Topps,440,Don Sutton,
1980,Topps,Topps,441,Eric Soderholm,
1980,Topps,Topps,442,Jorge Orta,
1980,Topps,Topps,443,Mike Parrott,
1980,Topps,Topps,444,Al Woods,
1980,Topps,Topps,445,Mark Fidrych,
1980,Topps,Topps,446,Duffy Dyer,
1980,Topps,Topps,447,Nino Espinosa,
1980,Topps,Topps,448,Jim Wohlford,
1980,Topps,Topps,449,Doug Bair,
1980,Topps,Topps,450,George Brett,
1980,Topps,Topps,451,Dave Garcia,Cleveland Indians Team Checklist
1980,Topps,Topps,452,Steve Dillard,
1980,Topps,Topps,453,Mike Bacsik,
1980,Topps,Topps,454,Tom Donohue,Rookie Card
1980,Topps,Topps,455,Mike Torrez,
1980,Topps,Topps,456,Frank Taveras,
1980,Topps,Topps,457,Bert Blyleven,
1980,Topps,Topps,458,Billy Sample,
1980,Topps,Topps,459,Mickey Lolich,
1980,Topps,Topps,460,Willie Randolph,
1980,Topps,Topps,461,Dwayne Murphy,
1980,Topps,Topps,462,Mike Sadek,
1980,Topps,Topps,463,Jerry Royster,
1980,Topps,Topps,464,John Denny,
1980,Topps,Topps,465,Rick Monday,
1980,Topps,Topps,466,Mike Squires,
1980,Topps,Topps,467,Jesse Jefferson,
1980,Topps,Topps,468,Aurelio Rodriguez,
1980,Topps,Topps,469,Randy Niemann,Rookie Card
1980,Topps,Topps,470,Bob Boone,
1980,Topps,Topps,471,Hosken Powell,
1980,Topps,Topps,472,Willie Hernandez,
1980,Topps,Topps,473,Bump Wills,
1980,Topps,Topps,474,Steve Busby,
1980,Topps,Topps,475,Cesar Geronimo,
1980,Topps,Topps,476,Bob Shirley,
1980,Topps,Topps,477,Buck Martinez,
1980,Topps,Topps,478,Gil Flores,
1980,Topps,Topps,479,Dick Williams,Montreal Expos Team Checklist
1980,Topps,Topps,480,Bob Watson,
1980,Topps,Topps,481,Tom Paciorek,
1980,Topps,Topps,482,Rickey Henderson,
1980,Topps,Topps,483,Bo Diaz,
1980,Topps,Topps,484,Checklist (364 - 484),
1980,Topps,Topps,485,Mickey Rivers,
1980,Topps,Topps,486,Mike Tyson,
1980,Topps,Topps,487,Wayne Nordhagen,
1980,Topps,Topps,488,Roy Howell,
1980,Topps,Topps,489,Preston Hanna,
1980,Topps,Topps,490,Lee May,
1980,Topps,Topps,491,Steve Mura,
1980,Topps,Topps,492,Todd Cruz,Rookie Card
1980,Topps,Topps,493,Jerry Martin,
1980,Topps,Topps,494,Craig Minetto,
1980,Topps,Topps,495,Bake McBride,
1980,Topps,Topps,496,Silvio Martinez,
1980,Topps,Topps,497,Jim Mason,
1980,Topps,Topps,498,Danny Darwin,
1980,Topps,Topps,499,Dave Bristol,San Francisco Giants Team Checklist
1980,Topps,Topps,500,Tom Seaver,
1980,Topps,Topps,501,Rennie Stennett,
1980,Topps,Topps,502,Rich Wortham,Rookie Card
1980,Topps,Topps,503,Mike Cubbage,
1980,Topps,Topps,504,Gene Garber,
1980,Topps,Topps,505,Bert Campaneris,
1980,Topps,Topps,506,Tom Buskey,
1980,Topps,Topps,507,Leon Roberts,
1980,Topps,Topps,508,U.L. Washington,
1980,Topps,Topps,509,Ed Glynn,
1980,Topps,Topps,510,Ron Cey,
1980,Topps,Topps,511,Eric Wilkins,Rookie Card
1980,Topps,Topps,512,Jose Cardenal,
1980,Topps,Topps,513,Tom Dixon,
1980,Topps,Topps,514,Steve Ontiveros,
1980,Topps,Topps,515,Mike Caldwell,
1980,Topps,Topps,516,Hector Cruz,
1980,Topps,Topps,517,Don Stanhouse,
1980,Topps,Topps,518,Nelson Norman,Rookie Card
1980,Topps,Topps,519,Steve Nicosia,Rookie Card
1980,Topps,Topps,520,Steve Rogers,
1980,Topps,Topps,521,Ken Brett,
1980,Topps,Topps,522,Jim Morrison,
1980,Topps,Topps,523,Ken Henderson,
1980,Topps,Topps,524,Jim Wright,
1980,Topps,Topps,525,Clint Hurdle,
1980,Topps,Topps,526,Dallas Green,Philadelphia Phillies Team Checklist
1980,Topps,Topps,527,Doug Rau,
1980,Topps,Topps,528,Adrian Devine,
1980,Topps,Topps,529,Jim Barr,
1980,Topps,Topps,530,Jim Sundberg,
1980,Topps,Topps,531,Eric Rasmussen,
1980,Topps,Topps,532,Willie Horton,
1980,Topps,Topps,533,Checklist (485 - 605),
1980,Topps,Topps,534,Andre Thornton,
1980,Topps,Topps,535,Bob Forsch,
1980,Topps,Topps,536,Lee Lacy,
1980,Topps,Topps,537,Alex Trevino,Rookie Card
1980,Topps,Topps,538,Joe Strain,
1980,Topps,Topps,539,Rudy May,
1980,Topps,Topps,540,Pete Rose,
1980,Topps,Topps,541,Miguel Dilone,
1980,Topps,Topps,542,Joe Coleman,
1980,Topps,Topps,543,Pat Kelly,
1980,Topps,Topps,544,Rick Sutcliffe,Rookie Card
1980,Topps,Topps,545,Jeff Burroughs,
1980,Topps,Topps,546,Rick Langford,
1980,Topps,Topps,547,John Wathan,
1980,Topps,Topps,548,Dave Rajsich,
1980,Topps,Topps,549,Larry Wolfe,
1980,Topps,Topps,550,Ken Griffey,
1980,Topps,Topps,551,Chuck Tanner,Pittsburgh Pirates Team Checklist
1980,Topps,Topps,552,Bill Nahorodny,
1980,Topps,Topps,553,Dick Davis,
1980,Topps,Topps,554,Art Howe,
1980,Topps,Topps,555,Ed Figueroa,
1980,Topps,Topps,556,Joe Rudi,
1980,Topps,Topps,557,Mark Lee,
1980,Topps,Topps,558,Alfredo Griffin,
1980,Topps,Topps,559,Dale Murray,
1980,Topps,Topps,560,Davey Lopes,
1980,Topps,Topps,561,Ed Whitson,
1980,Topps,Topps,562,Joe Wallis,
1980,Topps,Topps,563,Will McEnaney,
1980,Topps,Topps,564,Rick Manning,
1980,Topps,Topps,565,Dennis Leonard,
1980,Topps,Topps,566,Bud Harrelson,
1980,Topps,Topps,567,Skip Lockwood,
1980,Topps,Topps,568,Gary Roenicke,
1980,Topps,Topps,569,Terry Kennedy,
1980,Topps,Topps,570,Roy Smalley,
1980,Topps,Topps,571,Joe Sambito,
1980,Topps,Topps,572,Jerry Morales,
1980,Topps,Topps,573,Kent Tekulve,
1980,Topps,Topps,574,Scot Thompson,
1980,Topps,Topps,575,Ken Kravec,
1980,Topps,Topps,576,Jim Dwyer,
1980,Topps,Topps,577,Bobby Mattick,Toronto Blue Jays Team Checklist
1980,Topps,Topps,578,Scott Sanderson,
1980,Topps,Topps,579,Charlie Moore,
1980,Topps,Topps,580,Nolan Ryan,
1980,Topps,Topps,581,Bob Bailor,
1980,Topps,Topps,582,Brian Doyle,
1980,Topps,Topps,583,Bob Stinson,
1980,Topps,Topps,584,Kurt Bevacqua,
1980,Topps,Topps,585,Al Hrabosky,
1980,Topps,Topps,586,Mitchell Page,
1980,Topps,Topps,587,Garry Templeton,
1980,Topps,Topps,588,Greg Minton,
1980,Topps,Topps,589,Chet Lemon,
1980,Topps,Topps,590,Jim Palmer,
1980,Topps,Topps,591,Rick Cerone,
1980,Topps,Topps,592,Jon Matlack,
1980,Topps,Topps,593,Jesus Alou,
1980,Topps,Topps,594,Dick Tidrow,
1980,Topps,Topps,595,Don Money,
1980,Topps,Topps,596,Rick Matula,Rookie Card
1980,Topps,Topps,597,Tom Poquette,
1980,Topps,Topps,598,Fred Kendall,
1980,Topps,Topps,599,Mike Norris,
1980,Topps,Topps,600,Reggie Jackson,
1980,Topps,Topps,601,Buddy Schultz,
1980,Topps,Topps,602,Brian Downing,
1980,Topps,Topps,603,Jack Billingham,
1980,Topps,Topps,604,Glenn Adams,
